Voltage(mv),490-A,490-B,Voltage(mv),544-A,544-B,Voltage(mv),633-A,633-B
-,-,-,-,-,-,-,-,-
0,490,490,0,544,544,0,633,633
0,1423.3,1425.5,0,1326.6,1361.9,0,1263.3,1275.5
100.5,1423.1,1426.1,100.5,1326.3,1361.9,100.5,1263.3,1274.7
201.01,1423,1426.6,201.01,1326,1361.9,201.01,1263.3,1273.9
301.51,1422.7,1426.5,301.51,1326,1361.9,301.51,1263.3,1274.1
402.01,1422.4,1426.4,402.01,1326.1,1361.9,402.01,1263.2,1274.3
502.51,1421.8,1426.2,502.51,1326,1361.9,502.51,1260.1,1273.6
603.02,1421.2,1425.9,603.02,1325.8,1361.9,603.02,1257,1272.9
703.52,1420.1,1425.3,703.52,1325.1,1361.9,703.52,1257.1,1274
804.02,1421.6,1425.8,804.02,1326.7,1361.9,804.02,1257.7,1281.1
904.52,1419.5,1425.3,904.52,1325.4,1361.9,904.52,1255.2,1281.2
1005,1415,1423.7,1005,1322,1361.9,1005,1251.6,1277.9
1105.5,1409.6,1420.6,1105.5,1319.3,1361.9,1105.5,1243.8,1273.8
1206,1401.7,1414.5,1206,1313.2,1361.9,1206,1238.6,1264.4
1306.5,1386.6,1405.7,1306.5,1299.7,1345.6,1306.5,1224.5,1264.4
1407,1360.3,1388.1,1407,1277.3,1320.2,1407,1202.2,1244.1
1507.5,1318.6,1354.4,1507.5,1240.1,1284,1507.5,1166.7,1210.8
1608,1258.9,1302.2,1608,1187.4,1234.1,1608,1116.8,1162.8
1708.5,1191.1,1218,1708.5,1116.9,1175.2,1708.5,1060.3,1108.2
1809,1123.7,1166.2,1809,1055.7,1100.2,1809,997.8,1048.5
1909.5,1055,1096.4,1909.5,991.13,1042.8,1909.5,928.67,956.95
2010.1,967.11,1025.6,2010.1,928.35,976.94,2010.1,874.28,922.12
2110.6,922.35,957.4,2110.6,864.4,914.1,2110.6,816.38,860.85
2211.1,859.64,897.91,2211.1,803.57,844.83,2211.1,761.34,805.01
2311.6,802.02,839.36,2311.6,752.07,790.52,2311.6,710.35,752.98
2412.1,745.96,781.03,2412.1,700.52,743.77,2412.1,648.42,703.51
2512.6,697.59,721.03,2512.6,655.28,695.37,2512.6,609.48,656.39
2613.1,651.32,681.03,2613.1,612.43,651.17,2613.1,575.68,615.74
2713.6,610.8,639.91,2713.6,572.35,611.15,2713.6,539.1,575.09
2814.1,574.3,601.07,2814.1,538.82,571.47,2814.1,506.13,540.74
2914.6,539.49,566.29,2914.6,504.95,533.94,2914.6,476.71,509.56
3015.1,501.41,532.02,3015.1,473.31,505.76,3015.1,449.41,480.92
3115.6,475.27,495.45,3115.6,447.44,477.84,3115.6,425.08,455.17
3216.1,454.74,473.52,3216.1,424.29,453.15,3216.1,403.41,431.39
3316.6,430.47,453.9,3316.6,403.41,430.56,3316.6,383.41,410.04
3417.1,410.23,429.97,3417.1,384.37,410.3,3417.1,363.67,390.63
3517.6,391.35,410.42,3517.6,367.28,391.7,3517.6,344.99,370.44
3618.1,374.71,392.88,3618.1,351.54,375.23,3618.1,330.53,353.91
3718.6,359.28,376.48,3718.6,336.23,359.61,3718.6,315.03,337.22
3819.1,345.07,361.76,3819.1,322.15,345.57,3819.1,302.38,316.23
3919.6,332.62,348.13,3919.6,308.5,330.11,3919.6,289.74,306.9
4020.1,320.72,335.76,4020.1,296.22,318.92,4020.1,279.28,297.65
4120.6,309.04,324.06,4120.6,286.53,307.15,4120.6,269.27,287.78
4221.1,298.12,312.93,4221.1,277.68,295.67,4221.1,259.62,277.16
4321.6,288.16,302.19,4321.6,268.87,283.66,4321.6,250.31,267.05
4422.1,278.75,291.8,4422.1,260.03,271.16,4422.1,241.47,258.13
4522.6,268.5,282.5,4522.6,251.19,263.73,4522.6,234.06,248.24
4623.1,261.4,273.46,4623.1,243.41,256.31,4623.1,227.62,241.19
4723.6,252.65,265.88,4723.6,235.97,250.05,4723.6,221.21,234.19
4824.1,243.62,258.02,4824.1,228.84,243.94,4824.1,215.02,227.33
4924.6,237.88,246.49,4924.6,222.15,235.99,4924.6,209.65,221.42
5025.1,232.14,240.77,5025.1,217.07,229.76,5025.1,204.14,215.65
5125.6,227.3,235.85,5125.6,211.39,223.81,5125.6,199.07,210.04
5226.1,223.47,230.93,5226.1,204.8,217.92,5226.1,194.54,204.6
