Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
-,-,-,-,-,-,-,-,-,-,-,-
0,490,490,0,546,546,0,630,630,0,700,700
0,900.088,978.3927,0,762.3642,940.7913,0,835.1746,903.7457,0,818.9479,884.8093
200,900.0063,980.3455,200,762.4054,940.7735,200,835.1508,904.3223,200,818.9085,884.8122
400,899.9367,978.0685,400,762.3994,940.4594,400,835.0546,904.0538,400,818.817,884.6642
600,899.776,979.1932,600,762.5281,940.2588,600,834.8652,903.9202,600,818.6484,884.4126
800,899.4491,979.2489,800,762.8975,939.7155,800,834.6075,903.8657,800,818.2988,884.1537
800.0002,899.3919,977.6804,800.0002,762.9586,939.6363,800.0002,834.5792,903.8198,800.0002,818.3082,884.139
800.0005,899.4163,979.2348,800.0005,762.9323,939.725,800.0005,834.5914,903.8306,800.0005,818.2979,884.1282
800.0013,899.3986,977.7433,800.0013,762.8434,939.7155,800.0013,834.6035,903.9639,800.0013,818.2849,884.1505
800.0025,899.3259,976.2587,800.0025,762.8496,939.368,800.0025,834.5977,903.8721,800.0025,818.3017,884.139
800.0045,899.3491,977.0903,800.0045,762.9029,939.5673,800.0045,834.5643,903.9094,800.0045,818.2913,884.1677
800.0074,899.3468,978.3848,800.0074,762.9841,939.4031,800.0074,834.5618,903.8721,800.0074,818.2944,884.1414
800.0117,899.3561,981.1654,800.0117,762.8759,939.3149,800.0117,834.5544,903.8372,800.0117,818.2991,884.142
800.0179,899.3187,978.0402,800.0179,762.9401,939.2699,800.0179,834.601,903.8372,800.0179,818.2926,884.1273
800.0264,899.2985,980.3845,800.0264,762.8311,939.4858,800.0264,834.6318,903.87,800.0264,818.2984,884.1296
800.0377,899.3179,977.6952,800.0377,762.8975,939.5831,800.0377,834.5811,903.9115,800.0377,818.2885,884.157
800.0527,899.2849,977.3589,800.0527,762.8412,939.3943,800.0527,834.6116,903.8306,800.0527,818.3069,884.1426
800.0721,899.2578,976.8091,800.0721,762.886,939.4605,800.0721,834.5388,903.8678,800.0721,818.3087,884.1692
800.0969,899.2493,978.7734,800.0969,762.9292,939.688,800.0969,834.5582,903.7935,800.0969,818.2954,884.1561
800.128,899.2363,977.6871,800.128,763.0049,939.4104,800.128,834.605,903.4854,800.128,818.2999,884.1414
800.1666,899.235,978.7834,800.1666,762.9648,939.524,800.1666,834.5991,904.0099,800.1666,818.2878,884.1531
800.214,899.2055,979.7154,800.214,762.8859,939.6035,800.214,834.6099,903.8721,800.214,818.3069,884.139
800.2716,899.2241,978.3398,800.2716,762.916,939.5504,800.2716,834.5688,903.7065,800.2716,818.3016,884.1557
800.3411,899.1792,978.3442,800.3411,762.896,939.7998,800.3411,834.5981,903.9401,800.3411,818.2926,884.1689
800.424,899.1995,977.3824,800.424,762.8512,939.6111,800.424,834.5867,903.8458,800.424,818.2872,884.1628
800.5223,899.179,979.1549,800.5223,762.9369,939.5893,800.5223,834.5989,903.8743,800.5223,818.2993,884.1514
800.638,899.1995,978.3734,800.638,762.9323,939.4282,800.638,834.5405,903.7457,800.638,818.3097,884.1581
800.7734,899.1622,978.4147,800.7734,762.9146,939.5399,800.7734,834.5762,904.0164,800.7734,818.3043,884.1463
800.9308,899.1422,977.3878,800.9308,762.93,939.6064,800.9308,834.6359,903.6088,800.9308,818.3019,884.154
801.113,899.1249,976.7566,801.113,762.8983,939.7488,801.113,834.5798,903.6652,801.113,818.3111,884.1347
801.3225,899.1306,977.9633,801.3225,763.0082,939.5127,801.3225,834.6161,903.8787,801.3225,818.3075,884.1608
801.5625,899.1421,978.0605,801.5625,762.8427,939.485,801.5625,834.5643,904.0933,801.5625,818.3134,884.14
801.8361,899.1169,978.7473,801.8361,762.8628,939.46,801.8361,834.6187,903.8436,801.8361,818.2996,884.1188
802.1468,899.0878,978.3843,802.1468,762.9601,939.5616,802.1468,834.5833,903.9267,802.1468,818.2999,884.147
802.4982,899.0616,977.3652,802.4982,762.9106,939.3754,802.4982,834.5941,903.6131,802.4982,818.3031,884.1508
802.8941,899.0696,978.0184,802.8941,762.9941,939.7464,802.8941,834.579,903.787,802.8941,818.295,884.1336
803.3387,899.0283,977.9736,803.3387,762.899,939.599,803.3387,834.6207,903.8306,803.3387,818.294,884.1645
803.8364,899.0508,977.6635,803.8364,762.9368,939.3084,803.8364,834.5709,904.012,803.8364,818.2941,884.1407
804.3917,899.0722,981.1081,804.3917,762.9045,939.5308,804.3917,834.5717,903.7521,804.3917,818.2985,884.1443
805.0095,899.0245,979.7429,805.0095,762.9114,939.6143,805.0095,834.6008,903.6978,805.0095,818.3018,884.1394
805.6949,899.0546,977.6523,805.6949,762.9353,939.2281,805.6949,834.5692,903.787,805.6949,818.298,884.1423
