Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B,Voltage(mv),700-A,700-B
-,-,-,-,-,-,-,-,-,-,-,-
0,490,490,0,546,546,0,630,630,0,700,700
0,1447.4373,1441.9888,0,1359.4622,1359.4622,0,1229.1643,1234.8934,0,1249.0626,1254.4503
200,1448.6083,1441.8387,200,1359.4622,1359.4622,200,1229.4637,1235.8478,200,1248.9275,1254.3312
400,1448.0161,1442.5671,400,1359.4622,1359.4622,400,1229.8079,1235.8456,400,1248.7974,1253.8522
600,1448.5969,1442.5841,600,1359.4622,1359.4622,600,1229.5732,1237.0703,600,1248.3993,1253.0298
800,1446.5682,1441.1818,800,1359.4622,1359.4622,800,1229.6335,1239.778,800,1247.78,1251.5101
800.0002,1448.3115,1440.9066,800.0002,1359.4622,1359.4622,800.0002,1230.1173,1240.1825,800.0002,1247.7007,1251.3326
800.0005,1448.1592,1440.9086,800.0005,1359.4622,1359.4622,800.0005,1230.0356,1240.8093,800.0005,1247.6464,1251.2072
800.0013,1447.2734,1440.6422,800.0013,1359.4622,1359.4622,800.0013,1230.9683,1239.3718,800.0013,1247.5769,1251.2964
800.0025,1449.8143,1440.3284,800.0025,1359.4622,1359.4622,800.0025,1231.1738,1240.9211,800.0025,1247.5013,1251.2394
800.0045,1449.3888,1440.8191,800.0045,1359.4622,1359.4622,800.0045,1230.7645,1242.0188,800.0045,1247.4741,1251.1558
800.0074,1449.2269,1441.1534,800.0074,1359.4622,1359.4622,800.0074,1229.8762,1239.3513,800.0074,1247.4287,1251.1406
800.0117,1449.9259,1441.1479,800.0117,1359.4622,1359.4622,800.0117,1229.9452,1239.6787,800.0117,1247.3845,1250.9906
800.0179,1451.0872,1442.1431,800.0179,1359.4622,1359.4622,800.0179,1229.8743,1240.1776,800.0179,1247.3043,1250.9971
800.0264,1451.5044,1440.7777,800.0264,1359.4622,1359.4622,800.0264,1231.1631,1239.7593,800.0264,1247.1925,1250.8849
800.0377,1451.986,1442.0947,800.0377,1359.4622,1359.4622,800.0377,1230.894,1241.1283,800.0377,1247.1873,1250.8821
800.0527,1449.4847,1441.2238,800.0527,1359.4622,1359.4622,800.0527,1230.1926,1238.7638,800.0527,1247.1686,1250.8478
800.0721,1450.2279,1440.8951,800.0721,1359.4622,1359.4622,800.0721,1230.4053,1240.5812,800.0721,1247.1056,1250.7828
800.0969,1452.2273,1441.5621,800.0969,1359.4622,1359.4622,800.0969,1231.0519,1239.1622,800.0969,1247.1266,1250.7687
800.128,1451.916,1441.3394,800.128,1359.4622,1359.4622,800.128,1230.2379,1241.2366,800.128,1247.0464,1250.6694
800.1666,1452.9487,1441.3485,800.1666,1359.4622,1359.4622,800.1666,1230.9419,1239.6497,800.1666,1246.9565,1250.674
800.214,1453.4183,1441.8265,800.214,1359.4622,1359.4622,800.214,1230.6444,1241.6733,800.214,1247.0369,1250.6464
800.2716,1454.4866,1442.5702,800.2716,1359.4622,1359.4622,800.2716,1230.1542,1238.4636,800.2716,1246.9421,1250.6028
800.3411,1454.2527,1442.0502,800.3411,1359.4622,1359.4622,800.3411,1229.4786,1240.6907,800.3411,1246.887,1250.5834
800.424,1454.3649,1441.1768,800.424,1359.4622,1359.4622,800.424,1230.3204,1239.0358,800.424,1246.9027,1250.5563
800.5223,1454.5449,1442.004,800.5223,1359.4622,1359.4622,800.5223,1230.0043,1239.9557,800.5223,1246.8364,1250.4685
800.638,1455.6958,1441.1821,800.638,1359.4622,1359.4622,800.638,1230.1383,1239.9415,800.638,1246.7765,1250.4808
800.7734,1456.9917,1442.3042,800.7734,1359.4622,1359.4622,800.7734,1230.7264,1239.5321,800.7734,1246.7373,1250.4381
800.9308,1454.1483,1441.598,800.9308,1359.4622,1359.4622,800.9308,1230.3099,1240.26,800.9308,1246.6823,1250.427
801.113,1456.9227,1441.2187,801.113,1359.4622,1359.4622,801.113,1230.8246,1240.256,801.113,1246.6752,1250.4033
801.3225,1457.36,1441.532,801.3225,1359.4622,1359.4622,801.3225,1231.1411,1239.5349,801.3225,1246.6692,1250.2742
801.5625,1455.58,1441.9833,801.5625,1359.4622,1359.4622,801.5625,1231.212,1240.4686,801.5625,1246.6195,1250.2542
801.8361,1457.3395,1442.4655,801.8361,1359.4622,1359.4622,801.8361,1230.5571,1239.9526,801.8361,1246.6375,1250.1932
802.1468,1458.2264,1442.3391,802.1468,1359.4622,1359.4622,802.1468,1231.1129,1239.5131,802.1468,1246.5673,1250.1509
802.4982,1459.197,1442.4763,802.4982,1359.4622,1359.4622,802.4982,1231.1864,1239.0277,802.4982,1246.4955,1250.2524
802.8941,1459.8892,1441.8809,802.8941,1359.4622,1359.4622,802.8941,1229.6614,1240.0367,802.8941,1246.5463,1250.1469
