Voltage(mv),490-A,490-B,Voltage(mv),544-A,544-B,Voltage(mv),633-A,633-B
-,-,-,-,-,-,-,-,-
0,490,490,0,544,544,0,633,633
0,1425.5073,1423.3209,0,1361.8676,1326.5847,0,1275.4642,1263.2946
200,1426.6129,1422.9801,200,1361.8676,1325.9866,200,1273.8859,1263.2946
400,1426.4484,1422.4259,400,1361.8676,1326.0852,400,1274.2722,1263.2946
600,1425.9493,1421.1857,600,1361.8676,1325.8281,600,1272.899,1257.038
800,1424.6854,1419.0977,800,1361.8676,1324.504,800,1274.9532,1257.1927
800.0002,1424.9465,1419.0396,800.0002,1361.8676,1324.3419,800.0002,1273.4075,1256.5686
800.0005,1425.1534,1418.8878,800.0005,1361.8676,1324.6046,800.0005,1274.7972,1257.4249
800.0013,1425.1409,1419.3254,800.0013,1361.8676,1324.5857,800.0013,1274.1637,1256.7733
800.0025,1425.28,1419.4687,800.0025,1361.8676,1324.4078,800.0025,1275.3536,1260.3284
800.0045,1425.2683,1419.1719,800.0045,1361.8676,1324.158,800.0045,1275.8896,1256.8101
800.0074,1425.3342,1419.5267,800.0074,1361.8676,1324.3405,800.0074,1276.089,1257.3997
800.0117,1425.0963,1419.9095,800.0117,1361.8676,1324.7279,800.0117,1275.9583,1255.8722
800.0179,1425.3098,1419.5596,800.0179,1361.8676,1324.646,800.0179,1276.5642,1259.8413
800.0264,1425.3566,1419.8596,800.0264,1361.8676,1325.079,800.0264,1276.6368,1256.5906
800.0377,1425.4629,1420.0483,800.0377,1361.8676,1325.0458,800.0377,1277.0015,1258.0813
800.0527,1425.295,1420.0366,800.0527,1361.8676,1325.5702,800.0527,1277.8417,1260.7814
800.0721,1425.5665,1420.2747,800.0721,1361.8676,1324.9233,800.0721,1277.2383,1259.2141
800.0969,1425.7426,1419.9283,800.0969,1361.8676,1325.47,800.0969,1278.5128,1259.9178
800.128,1425.5952,1420.2432,800.128,1361.8676,1325.2938,800.128,1277.9148,1257.3665
800.1666,1425.5959,1420.1812,800.1666,1361.8676,1325.8,800.1666,1277.8875,1256.2094
800.214,1425.3518,1420.264,800.214,1361.8676,1325.7029,800.214,1278.2927,1257.1677
800.2716,1425.5217,1420.3997,800.2716,1361.8676,1325.6204,800.2716,1279.5344,1259.1836
800.3411,1425.505,1420.4796,800.3411,1361.8676,1325.4406,800.3411,1279.4893,1256.7549
800.424,1425.5712,1420.6642,800.424,1361.8676,1325.4094,800.424,1280.0889,1258.0944
800.5223,1425.7573,1420.3944,800.5223,1361.8676,1325.9224,800.5223,1279.0563,1257.5989
800.638,1425.8739,1420.8033,800.638,1361.8676,1325.6747,800.638,1279.7517,1256.9659
800.7734,1425.4684,1420.6708,800.7734,1361.8676,1325.7976,800.7734,1279.5183,1255.6604
800.9308,1425.7289,1420.8556,800.9308,1361.8676,1326.0449,800.9308,1279.2858,1257.6526
801.113,1425.7535,1421.1116,801.113,1361.8676,1325.8591,801.113,1280.1851,1256.2451
801.3225,1425.8577,1421.1667,801.3225,1361.8676,1326.6598,801.3225,1280.7461,1256.3663
801.5625,1425.5397,1421.2976,801.5625,1361.8676,1326.6965,801.5625,1280.3638,1258.1481
801.8361,1425.8132,1421.0604,801.8361,1361.8676,1326.7147,801.8361,1280.3551,1260.3572
802.1468,1425.4729,1421.2655,802.1468,1361.8676,1326.1765,802.1468,1280.7333,1257.6355
802.4982,1425.6304,1421.379,802.4982,1361.8676,1325.2263,802.4982,1280.557,1258.6603
802.8941,1425.8291,1421.1097,802.8941,1361.8676,1326.8529,802.8941,1280.5428,1256.7765
803.3387,1425.9078,1421.5657,803.3387,1361.8676,1326.5199,803.3387,1280.6003,1257.6589
803.8364,1425.8311,1421.5471,803.8364,1361.8676,1326.6879,803.8364,1281.1835,1256.7677
804.3917,1425.67,1421.7476,804.3917,1361.8676,1326.7313,804.3917,1280.9978,1259.6025
805.0095,1425.5868,1421.7985,805.0095,1361.8676,1325.8219,805.0095,1280.958,1257.4115
805.6949,1425.7699,1421.8054,805.6949,1361.8676,1326.9956,805.6949,1280.8383,1258.9167
806.4534,1425.953,1421.4967,806.4534,1361.8676,1326.5439,806.4534,1281.3145,1256.7716
807.2906,1425.9717,1421.5094,807.2906,1361.8676,1326.8324,807.2906,1281.6333,1258.6106
