Voltage(mv),490-A,490-B,Voltage(mv),546-A,546-B,Voltage(mv),630-A,630-B
-,-,-,-,-,-,-,-,-
0,490,490,0,546,546,0,630,630
0,970.6205,924.4288,0,932.2446,891.2008,0,899.6626,857.2885
200,970.7488,924.4422,200,932.2028,891.1546,200,899.5908,857.3078
400,970.1024,924.3969,400,932.1573,891.1184,400,899.5674,857.255
600,970.3032,924.2089,600,932.0445,890.9534,600,899.4894,857.1558
800,970.6216,924.0334,800,931.9086,890.7409,800,899.2996,857.0418
800.0002,970.2955,923.9782,800.0002,931.8625,890.7854,800.0002,899.3223,857.0668
800.0005,970.5338,924.0236,800.0005,931.8528,890.7086,800.0005,899.3418,857.0194
800.0013,970.4291,923.9744,800.0013,931.8522,890.7479,800.0013,899.5204,857.0292
800.0025,970.2023,923.9342,800.0025,931.8227,890.7476,800.0025,899.462,857.0341
800.0045,970.303,924.0377,800.0045,931.7548,890.6813,800.0045,899.5118,857.0626
800.0074,970.7298,923.9681,800.0074,931.7547,890.6643,800.0074,899.361,857.0405
800.0117,970.501,923.949,800.0117,931.6918,890.6855,800.0117,899.4615,857.0678
800.0179,970.6304,923.9568,800.0179,931.6571,890.686,800.0179,899.4302,857.0682
800.0264,970.3965,924.0368,800.0264,931.6416,890.6548,800.0264,899.625,857.0418
800.0377,970.1071,923.9077,800.0377,931.6307,890.6253,800.0377,899.5439,857.0936
800.0527,970.485,923.9475,800.0527,931.5721,890.6281,800.0527,899.5349,857.0681
800.0721,970.2087,923.9111,800.0721,931.5644,890.6214,800.0721,899.5664,857.0282
800.0969,970.3183,923.9297,800.0969,931.5154,890.5881,800.0969,899.6073,857.0379
800.128,970.7083,923.9536,800.128,931.5333,890.5963,800.128,899.5505,857.0487
800.1666,970.2427,923.9435,800.1666,931.46,890.51,800.1666,899.6141,857.0633
800.214,970.4091,923.8931,800.214,931.4731,890.5632,800.214,899.6068,857.0994
800.2716,970.3083,923.8519,800.2716,931.4268,890.519,800.2716,899.5877,857.0792
800.3411,970.5234,923.9288,800.3411,931.3978,890.5178,800.3411,899.5906,857.0653
800.424,970.6236,923.8934,800.424,931.3268,890.5305,800.424,899.6685,857.0522
800.5223,970.3292,923.9189,800.5223,931.3256,890.5302,800.5223,899.5839,857.0637
800.638,970.2563,923.9035,800.638,931.314,890.4742,800.638,899.6397,856.998
800.7734,970.5975,923.856,800.7734,931.2654,890.4747,800.7734,899.6262,857.0522
800.9308,970.3166,923.8568,800.9308,931.2437,890.4885,800.9308,899.7133,857.012
801.113,970.3415,923.8309,801.113,931.2462,890.4669,801.113,899.6783,857.0919
801.3225,970.2266,923.8604,801.3225,931.2007,890.4383,801.3225,899.715,857.1085
801.5625,970.1211,923.8718,801.5625,931.1546,890.4131,801.5625,899.7017,857.0707
801.8361,970.3842,923.8087,801.8361,931.1307,890.4269,801.8361,899.6898,857.0624
802.1468,970.3016,923.8685,802.1468,931.1105,890.4143,802.1468,899.7621,857.0792
802.4982,969.985,923.791,802.4982,931.137,890.3937,802.4982,899.827,857.0773
802.8941,970.217,923.8154,802.8941,931.0918,890.3479,802.8941,899.6497,857.0718
803.3387,970.3767,923.7698,803.3387,931.0677,890.4115,803.3387,899.6829,857.0474
803.8364,970.3445,923.7722,803.8364,931.037,890.3945,803.8364,899.6318,857.1147
804.3917,970.5901,923.8733,804.3917,931.0189,890.4064,804.3917,899.7525,857.0555
805.0095,970.566,923.7935,805.0095,930.9893,890.4003,805.0095,899.6837,857.0744
805.6949,970.0751,923.7876,805.6949,930.9831,890.3537,805.6949,899.8142,857.1001
806.4534,970.1019,923.7536,806.4534,930.9687,890.3165,806.4534,899.7499,857.0536
807.2906,970.332,923.7192,807.2906,930.897,890.351,807.2906,899.6883,857.0696
808.2125,970.0452,923.8179,808.2125,930.9462,890.3187,808.2125,899.7281,857.0939
809.2255,970.4099,923.7689,809.2255,930.9235,890.2614,809.2255,899.7595,857.0351
